title	url	points	by	hnId	dot
SQLite: 35% Faster Than the Filesystem	https://sqlite.org/fasterthanfs.html	430	yla92	41085376	digraph SQLitePerformance{rankdir=LR;node[shape=box, style="rounded,filled", fillcolor="#f9f9f9", fontcolor="#333"]; A[label="SQLite Performance", shape=ellipse, fillcolor="#e0e0e0"];B[label="35% Faster Reads", fillcolor="#b2e0b2"];C[label="20% Less Disk Space", fillcolor="#b2e0b2"];D[label="Single Open/Close Calls", fillcolor="#b2e0b2"];E[label="Overhead of open()/close()", fillcolor="#f9c9c9"];F[label="Performance Variability", fillcolor="#f9c9c9"];G[label="Direct File I/O", fillcolor="#f9f9f9"];H[label="SQLite Database", fillcolor="#f9f9f9"];I[label="Caveats & Variations", fillcolor="#f9f9f9"];J[label="General Findings", fillcolor="#f9f9f9"]; A->B;A->C;A->D;B->H[label="Reads"];C->H[label="Disk Space"];D->H[label="Efficiency"];H->E[label="Less Overhead"];H->F[label="Performance Fluctuations"];G->F[label="File System"];H->I[label="Includes Caveats"];H->J[label="Includes Findings"]; J->K[label="SQLite is competitive"];J->L[label="Windows performance better with AV"];J->M[label="Reading faster than writing"];J->N[label="Performance varies by OS"];J->O[label="BLOB storage recommendations"]; K[label="SQLite is competitive and often faster", fillcolor="#b2e0b2"];L[label="SQLite faster than direct writes on Windows with AV", fillcolor="#b2e0b2"];M[label="Reading is faster than writing", fillcolor="#b2e0b2"];N[label="I/O performance varies widely", fillcolor="#b2e0b2"];O[label="Storing BLOBs in SQLite preferred", fillcolor="#b2e0b2"];}
An experiment in UI density created with Svelte	https://cybernetic.dev/grid	415	11001100	41088013	digraph DataDensityControl{rankdir=LR;node[shape=box, style=filled, fillcolor=lightblue, fontname="Helvetica"]; main[label="Data Density Control", shape=ellipse, style=filled, fillcolor=lightgreen];pagination[label="Pagination (only when necessary)", shape=box, style=filled, fillcolor=lightyellow];density_settings[label="Density-related Settings", shape=box, style=filled, fillcolor=lightpink];font_padding[label="Min Font Size\nMin x-Padding\nMin y-Padding", shape=box, style=filled, fillcolor=lightgrey];decimals_tween[label="Decimals & Tween\n(Visual Transitions)", shape=box, style=filled, fillcolor=lightblue]; main->pagination;main->density_settings;density_settings->font_padding;density_settings->decimals_tween; show_quote[label="Show Quote", shape=box, style=rounded, fillcolor=lightgreen];group_digits[label="Group Digits", shape=box, style=rounded, fillcolor=lightgreen];min_font_size[label="Min Font Size", shape=box, style=rounded, fillcolor=lightgreen];min_x_padding[label="Min x-Padding", shape=box, style=rounded, fillcolor=lightgreen];min_y_padding[label="Min y-Padding", shape=box, style=rounded, fillcolor=lightgreen]; density_settings->show_quote;density_settings->group_digits;density_settings->min_font_size;density_settings->min_x_padding;density_settings->min_y_padding; duration[label="Tween Duration (s)", shape=box, style=rounded, fillcolor=lightblue];decimals_tween->duration; info[label="Material is for informational purposes only.\nDoes not constitute investment advice.", shape=note, style=dotted, fontname="Helvetica"]; main->info[style=dashed];}
The Linux Kernel Module Programming Guide	https://sysprog21.github.io/lkmpg/	315	wrycoder	41083972	digraph LKMPG{graph[rankdir=LR];Introduction[label="1. Introduction"];Authorship[label="1.1 Authorship"];Acknowledgements[label="1.2 Acknowledgements"];WhatIsAKernelModule[label="1.3 What Is A Kernel Module?"];KernelModulePackage[label="1.4 Kernel Module Package"];WhatModulesAreInMyKernel[label="1.5 What Modules are in my Kernel?"];DownloadCompileKernel[label="1.6 Is there a need to download and compile the kernel?"];BeforeWeBegin[label="1.7 Before We Begin"]; Headers[label="2. Headers"];Examples[label="3. Examples"];HelloWorld[label="4. Hello World"];SimplestModule[label="4.1 The Simplest Module"];HelloAndGoodbye[label="4.2 Hello and Goodbye"];InitExitMacros[label="4.3 The __init and __exit Macros"];Licensing[label="4.4 Licensing and Module Documentation"];CommandLineArgs[label="4.5 Passing Command Line Arguments to a Module"];MultipleFiles[label="4.6 Modules Spanning Multiple Files"];Preliminaries[label="5. Preliminaries"];HowModulesBeginEnd[label="5.1 How modules begin and end"];FunctionsAvailableToModules[label="5.2 Functions available to modules"];UserSpaceVsKernelSpace[label="5.3 User Space vs Kernel Space"];NameSpace[label="5.4 Name Space"];CodeSpace[label="5.5 Code space"];DeviceDrivers[label="5.6 Device Drivers"]; CharDeviceDrivers[label="6. Character Device drivers"];FileOperationsStructure[label="6.1 The file_operations Structure"];FileStructure[label="6.2 The file structure"];RegisteringADevice[label="6.3 Registering A Device"];UnregisteringADevice[label="6.4 Unregistering A Device"];ChardevC[label="6.5 chardev.c"];WriteModulesForMultipleKernelVersions[label="6.6 Writing Modules for Multiple Kernel Versions"]; ProcFileSystem[label="7. The /proc File System"];ProcOpsStructure[label="7.1 The proc_ops Structure"];ReadWriteProcFile[label="7.2 Read and Write a /proc File"];ManageProcFile[label="7.3 Manage /proc file with standard filesystem"];ManageProcFileSeqFile[label="7.4 Manage /proc file with seq_file"];Sysfs[label="8. sysfs: Interacting with your module"];TalkingToDeviceFiles[label="9. Talking To Device Files"];SystemCalls[label="10. System Calls"]; BlockingProcessesThreads[label="11. Blocking Processes and Threads"];Completions[label="11.1 Sleep"]; AvoidingCollisions[label="12. Avoiding Collisions and Deadlocks"];Mutex[label="12.1 Mutex"];Spinlocks[label="12.2 Spinlocks"];ReadWriteLocks[label="12.3 Read and write locks"];AtomicOperations[label="12.4 Atomic operations"]; ReplacingPrintMacros[label="13. Replacing Print Macros"];FlashingKeyboardLEDs[label="13.2 Flashing keyboard LEDs"];SchedulingTasks[label="14. Scheduling Tasks"];Tasklets[label="14.1 Tasklets"];WorkQueues[label="14.2 Work queues"];InterruptHandlers[label="15. Interrupt Handlers"];InterruptHandlersTopHalf[label="15.1 Interrupt Handlers"];DetectingButtonPresses[label="15.2 Detecting button presses"];BottomHalf[label="15.3 Bottom Half"];ThreadedIRQ[label="15.4 Threaded IRQ"];VirtualInputDeviceDriver[label="16. Virtual Input Device Driver"]; StandardizingInterfaces[label="17. Standardizing the interfaces: The Device Model"]; Optimizations[label="18. Optimizations"];CommonPitfalls[label="19. Common Pitfalls"]; WhereToGoFromHere[label="20. Where To Go From Here?"];Introduction->{Authorship Acknowledgements WhatIsAKernelModule KernelModulePackage WhatModulesAreInMyKernel DownloadCompileKernel BeforeWeBegin};Introduction->Headers;Introduction->Examples;Introduction->HelloWorld;HelloWorld->{SimplestModule HelloAndGoodbye InitExitMacros Licensing CommandLineArgs MultipleFiles};Introduction->Preliminaries;Preliminaries->{HowModulesBeginEnd FunctionsAvailableToModules UserSpaceVsKernelSpace NameSpace CodeSpace DeviceDrivers};Introduction->CharDeviceDrivers;CharDeviceDrivers->{FileOperationsStructure FileStructure RegisteringADevice UnregisteringADevice ChardevC WriteModulesForMultipleKernelVersions}; Introduction->ProcFileSystem;ProcFileSystem->{ProcOpsStructure ReadWriteProcFile ManageProcFile ManageProcFileSeqFile}; Introduction->Sysfs;Introduction->TalkingToDeviceFiles;TalkingToDeviceFiles->SystemCalls; SystemCalls->{BlockingProcessesThreads Completions};BlockingProcessesThreads->AvoidingCollisions;AvoidingCollisions->{Mutex Spinlocks ReadWriteLocks AtomicOperations};Introduction->ReplacingPrintMacros;ReplacingPrintMacros->FlashingKeyboardLEDs; Introduction->SchedulingTasks;SchedulingTasks->{Tasklets WorkQueues}; Introduction->InterruptHandlers;InterruptHandlers->{InterruptHandlersTopHalf DetectingButtonPresses BottomHalf ThreadedIRQ};Introduction->VirtualInputDeviceDriver;Introduction->StandardizingInterfaces;Introduction->Optimizations;Introduction->CommonPitfalls;Introduction->WhereToGoFromHere;}
In the Beginning Was the Command Line (1999)	https://web.stanford.edu/class/cs81n/command.txt	290	conanxin	41084795	digraph G{nodesep=0.8;rankdir=LR;node[shape=rect, style=filled, color=lightblue];subgraph cluster_tech_pioneers{label="Tech Pioneers";style=dashed;Apple[label="Apple (Jobs & Wozniak)\n- Home computers"];Microsoft[label="Microsoft (Gates & Allen)\n- Operating systems"];}subgraph cluster_business_models{label="Business Models";style=dashed;AppleBM[label="Apple Business Model\n- Hardware-centric"];MicrosoftBM[label="Microsoft Business Model\n- Software-centric"];}subgraph cluster_os_metaphors{label="OS Metaphors";style=dashed;GUI[label="Graphical User Interface (GUI)\n- Metaphor-driven"];CLI[label="Command Line Interface (CLI)\n- Text-driven"];}subgraph cluster_os_development{label="OS Development";style=dashed;Unix[label="Unix\n- Hacker-driven\n- Open Source"];Linux[label="Linux\n- Community-driven\n- Free"];BeOS[label="BeOS\n- Innovation-focused"];}subgraph cluster_market_dynamics{label="Market Dynamics";style=dashed;Monopoly[label="Microsoft's Market Dominance\n- Mindshare\n- Driver Support"];Alternatives[label="OS Alternatives\n- Linux\n- BeOS\n- Macintosh"];}subgraph cluster_future{label="Future of OS";style=dashed;Innovation[label="Innovation\n- Open Source Movement\n- New Technologies"];Challenges[label="Challenges\n- Consumer Mindset\n- Market Forces"];}Apple->AppleBM;Microsoft->MicrosoftBM;AppleBM->GUI;MicrosoftBM->GUI;GUI->CLI[label="Metaphor Shear"];CLI->Unix;Unix->Linux[label="Fork"];GUI->Linux;GUI->BeOS;MicrosoftBM->Monopoly;Monopoly->Alternatives[label="Competition"];Alternatives->Innovation;Innovation->Challenges;}
Linux Network Performance Ultimate Guide	https://ntk148v.github.io/posts/linux-network-performance-ultimate-guide/	180	bratao	41083801	digraph LinuxNetworkPerformance{rankdir=LR;node[shape=box];subgraph cluster_reception{label="Packet Reception";NIC[label="Network Interface Card (NIC)"];IRQ[label="Interrupt Request (IRQ)"];softIRQ[label="SoftIRQ"];NAPI[label="NAPI Polling"];RXQueue[label="Receive Queue"];Processing[label="Packet Processing"]; NIC->IRQ->softIRQ->NAPI->RXQueue->Processing;}subgraph cluster_transmission{label="Packet Transmission";App[label="Application"];TCP[label="TCP Layer"];IP[label="IP Layer"];TXQueue[label="Transmit Queue"];NIC_TX[label="NIC Transmit"]; App->TCP->IP->TXQueue->NIC_TX;}subgraph cluster_tuning{label="Performance Tuning";IRQ_Affinity[label="IRQ Affinity"];RPS[label="Receive Packet Steering (RPS)"];RSS[label="Receive Side Scaling (RSS)"];Interrupt_Coalescence[label="Interrupt Coalescence"];Buffer_Tuning[label="Buffer Tuning"]; IRQ_Affinity->RPS;RPS->RSS;RSS->Interrupt_Coalescence;Interrupt_Coalescence->Buffer_Tuning;}Processing->App[label="Data Flow"];NIC->NIC_TX[label="Data Flow"];RXQueue->Processing[label="Packet Handling"];TXQueue->NIC_TX[label="Packet Handling"];}
Windows recovery environment and bootable USB creator in 200kb	https://github.com/joshuacline/windick	174	windozedev	41083987	digraph windick{rankdir=TB;node[shape=box];subgraph cluster_repo{label="GitHub Repository";style=dashed;repo[label="windick\nWindows Deployment Image Customization Kit\nA native command shell Windows image deployment tool"];stars[label="Stars: 363"];forks[label="Forks: 16"];commits[label="Commits: 538"];branches[label="Branches"];tags[label="Tags"];}subgraph cluster_navigation{label="Navigation Menu";style=dashed;product[label="Product"];solutions[label="Solutions"];resources[label="Resources"];open_source[label="Open Source"];enterprise[label="Enterprise"];pricing[label="Pricing"];}subgraph cluster_features{label="Features";style=dotted;ai[label="AI"];security[label="Security"];actions[label="Actions"];codespaces[label="Codespaces"];issues[label="Issues"];code_review[label="Code Review"];discussions[label="Discussions"];code_search[label="Code Search"];}subgraph cluster_use_cases{label="Use Cases";style=dotted;devsecops[label="DevSecOps"];devops[label="DevOps"];cicd[label="CI/CD"];}subgraph cluster_industries{label="Industries";style=dotted;healthcare[label="Healthcare"];finance[label="Financial Services"];manufacturing[label="Manufacturing"];government[label="Government"];}repo->stars;repo->forks;repo->commits;repo->branches;repo->tags;product->features;solutions->use_cases;solutions->industries;resources->open_source;enterprise->pricing;features->ai;features->security;features->actions;features->codespaces;features->issues;features->code_review;features->discussions;features->code_search;use_cases->devsecops;use_cases->devops;use_cases->cicd;industries->healthcare;industries->finance;industries->manufacturing;industries->government;}
Oscar Zariski  was one of the founders of modern algebraic geometry	https://boogiemath.org/meta/meta-9.html	154	boogiemath	41086060	digraph ZariskiBiography{node[shape=box];Biography[label="Biography of Oscar Zariski" shape=ellipse];Contributions[label="Contributions to Algebraic Geometry"];EarlyLife[label="Early Life and Influences"];MathematicalCommunity[label="Mathematical Community"];PersonalLife[label="Personal Life"];Zariski[label="Oscar Zariski (1899-1986)"];Brother[label="Moses Zariski (Older Brother)"];Noether[label="Emmy Noether (Influential Mathematician)"];Hartshorne[label="Robin Hartshorne (Student)"];Mumford[label="David Mumford (Student)"]; ItalianSchool[label="Italian School of Algebraic Geometry"];Cremona[label="Luigi Cremona"];Castelnuovo[label="Guido Castelnuovo"];Enriques[label="Federigo Enriques"];Severi[label="Francesco Severi"];Biography->Zariski;Biography->EarlyLife;Biography->Contributions;Biography->MathematicalCommunity;Biography->PersonalLife;EarlyLife->Brother;EarlyLife->Zariski[label="Influenced by"]; Contributions->Zariski[label="Founder of Modern Algebraic Geometry"];Contributions->Hartshorne;Contributions->Mumford;MathematicalCommunity->ItalianSchool;ItalianSchool->Cremona;ItalianSchool->Castelnuovo;ItalianSchool->Enriques;ItalianSchool->Severi;MathematicalCommunity->Noether[label="Influence from Göttingen"]; PersonalLife->Zariski[label="Obsessed with Mathematics"];PersonalLife->Yole[label="Wife"];PersonalLife->"Marriage Day Incident"[label="Delayed by Math Problem"];}
Learning about PCI-e: Driver and DMA	https://blog.davidv.dev/posts/pcie-driver-dma/	147	todsacerdoti	41085713	digraph PCIeDriver{rankdir=LR;node[shape=box];subgraph cluster_driver{label="PCIe Driver";pci_driver[label="struct pci_driver\n- supported devices\n- probe function"];gpu_state[label="struct GpuState\n- struct pci_dev *pdev\n- u8 __iomem *hwmem\n- struct cdev cdev"];pci_register_driver[label="pci_register_driver()"];probe_function[label="probe function\n- pci_enable_device_mem(pdev)\n- pci_request_region(pdev, bars)\n- ioremap()"];file_operations[label="File Operations\n- open()\n- read()\n- write()"];dma_transfer[label="DMA Transfer\n- execute_dma()"];msi_setup[label="MSI Setup\n- request_threaded_irq()"];pci_driver->probe_function;probe_function->gpu_state;gpu_state->pci_register_driver;file_operations->gpu_state;gpu_state->dma_transfer;gpu_state->msi_setup;}subgraph cluster_userspace{label="User -Space Interaction";user_app[label="User  Application\n- open('/dev/gpu-io')\n- read/write"];device_file[label="/dev/gpu-io"];user_app->device_file;device_file->file_operations;}subgraph cluster_dma{label="DMA Operation";dma_registers[label="DMA Registers\n- REG_DMA_DIR\n- REG_DMA_ADDR_SRC\n- REG_DMA_ADDR_DST\n- REG_DMA_LEN"];dma_command[label="Commands\n- CMD_DMA_START"]; dma_transfer->dma_registers;dma_transfer->dma_command;}subgraph cluster_interrupts{label="Interrupt Handling";irq_handler[label="IRQ Handler\n- Interrupt on DMA completion"];wait_queue[label="Wait Queue\n- Blocking write operation"]; msi_setup->irq_handler;irq_handler->wait_queue;}dma_transfer->irq_handler;}
Introduction to Machine Learning Interviews Book	https://huyenchip.com/ml-interviews-book/	147	ibobev	41083534	digraph MLInterviewsBook{node[shape=box, style=filled, color=lightgrey]; subgraph cluster_0{label="Introduction to Machine Learning Interviews Book";URL="https://huyenchip.com/ml-interviews-book/"; node[style=filled, color=white]; subgraph cluster_intro{label="Introduction";"Target audience"[URL="https://huyenchip.com/ml-interviews-book/contents/0-target-audience.html"];"About the questions"[URL="https://huyenchip.com/ml-interviews-book/contents/0-about-the-questions.html"];"About the answers"[URL="https://huyenchip.com/ml-interviews-book/contents/0-about-the-answers.html"];"Gaming the interview process"[URL="https://huyenchip.com/ml-interviews-book/contents/0-gaming-the-interview-process.html"];"Acknowledgments"[URL="https://huyenchip.com/ml-interviews-book/contents/0-acknowledgments.html"];"About the author"[URL="https://huyenchip.com/ml-interviews-book/contents/0-about-the-author.html"];} subgraph cluster_part1{label="Part I. Overview"; subgraph cluster_chapter1{label="Chapter 1. Machine learning jobs";"Different machine learning roles"[URL="https://huyenchip.com/ml-interviews-book/contents/1.1-different-ml-roles.html"];"Types of companies"[URL="https://huyenchip.com/ml-interviews-book/contents/1.2-types-of-companies.html"];} subgraph cluster_chapter2{label="Chapter 2. Machine learning interview process";"Understanding the interviewers’ mindset"[URL="https://huyenchip.com/ml-interviews-book/contents/2.1-understanding-the-interviewers%E2%80%99-mindset.html"];"Interview pipeline"[URL="https://huyenchip.com/ml-interviews-book/contents/2.2-interview-pipeline.html"];"Types of questions"[URL="https://huyenchip.com/ml-interviews-book/contents/2.3-types-of-questions.html"];"Red flags"[URL="https://huyenchip.com/ml-interviews-book/contents/2.4-red-flags.html"];"Timeline"[URL="https://huyenchip.com/ml-interviews-book/contents/2.5-timeline.html"];"Understanding your odds"[URL="https://huyenchip.com/ml-interviews-book/contents/2.6-understanding-your-odds.html"];} subgraph cluster_chapter3{label="Chapter 3. After an offer";"Compensation package"[URL="https://huyenchip.com/ml-interviews-book/contents/3.1-compensation-package.html"];"Negotiation"[URL="https://huyenchip.com/ml-interviews-book/contents/3.2-negotiation.html"];"Career progression"[URL="https://huyenchip.com/ml-interviews-book/contents/3.3-career-progression.html"];} subgraph cluster_chapter4{label="Chapter 4. Where to start";"How long do I need for my job search?"[URL="https://huyenchip.com/ml-interviews-book/contents/4.1-how-long-do-i-need-for-my-job-search.html"];"How other people did it"[URL="https://huyenchip.com/ml-interviews-book/contents/4.2-how-other-people-did-it.html"];"Resources"[URL="https://huyenchip.com/ml-interviews-book/contents/4.3-resources.html"];"Do’s and don’ts for ML interviews"[URL="https://huyenchip.com/ml-interviews-book/contents/4.4-do%E2%80%99s-and-don%E2%80%99ts-for-ml-interviews.html"];}} subgraph cluster_part2{label="Part II: Questions"; subgraph cluster_chapter5{label="Chapter 5. Math";"Algebra and calculus"[URL="https://huyenchip.com/ml-interviews-book/contents/5.1-algebra-and-calculus.html"];"Probability and statistics"[URL="https://huyenchip.com/ml-interviews-book/contents/5.2-probability-and-statistics.html"];} subgraph cluster_chapter6{label="Chapter 6. Computer Science";"Algorithms"[URL="https://huyenchip.com/ml-interviews-book/contents/6.1-algorithms.html"];"Complexity and numerical analysis"[URL="https://huyenchip.com/ml-interviews-book/contents/6.2-complexity-and-numerical-analysis.html"];"Data"[URL="https://huyenchip.com/ml-interviews-book/contents/6.3-data.html"];} subgraph cluster_chapter7{label="Chapter 7. Machine learning workflows";"Basics"[URL="https://huyenchip.com/ml-interviews-book/contents/7.1-basics.html"];"Sampling and creating training data"[URL="https://huyenchip.com/ml-interviews-book/contents/7.2-sampling-and-creating-training-data.html"];"Objective functions, metrics, and evaluation"[URL="https://huyenchip.com/ml-interviews-book/contents/7.3-objective-functions,-metrics,-and-evaluation.html"];} subgraph cluster_chapter8{label="Chapter 8. Machine learning algorithms";"Classical machine learning"[URL="https://huyenchip.com/ml-interviews-book/contents/8.1-classical-machine-learning.html"];"Deep learning architectures and applications"[URL="https://huyenchip.com/ml-interviews-book/contents/8.2-deep-learning-architectures-and-applications.html"];"Training neural networks"[URL="https://huyenchip.com/ml-interviews-book/contents/8.3-training-neural-networks.html"];}} "Appendix"[URL="https://huyenchip.com/ml-interviews-book/contents/appendix.html"];} subgraph cluster_honkit{label="Published with HonKit";URL="https://github.com/honkit/honkit";}}
Show HN: Semantic Grep – A Word2Vec-powered search tool	https://github.com/arunsupe/semantic-grep	141	arunsupe	41088273	digraph w2vgrep{node[shape=box, style=filled, color=lightblue];subgraph cluster_w2vgrep{label="w2vgrep - Semantic Grep";"Command-Line Tool"[label="Semantic Search Tool"];"Word Embeddings"[label="Uses Word Embeddings"];"Semantic Search"[label="Finds Semantically Similar Matches"];"Multiple Languages"[label="Supports Multiple Languages"];"Grep-Like Experience"[label="Similar Experience to grep"]; "Command-Line Tool"->"Word Embeddings";"Word Embeddings"->"Semantic Search";"Semantic Search"->"Multiple Languages";"Semantic Search"->"Grep-Like Experience";}subgraph cluster_example_usage{label="Example Usage";"Fetch Text"[label="Fetch Text from URL"];"Pipe to w2vgrep"[label="Pipe Text to w2vgrep"];"Search Similar Words"[label="Search for Words Similar to 'death'"];"Display Context"[label="Display Context and Line Numbers"];"Similarity Threshold"[label="Set Similarity Threshold (0.55)"]; "Fetch Text"->"Pipe to w2vgrep";"Pipe to w2vgrep"->"Search Similar Words";"Search Similar Words"->"Display Context";"Search Similar Words"->"Similarity Threshold";}subgraph cluster_features{label="Features";"Semantic Search"[label="Semantic Search"];"Configurable Threshold"[label="Configurable Similarity Threshold"];"Context Display"[label="Context Display"];"Color-Coded Output"[label="Color-Coded Output"];"Language Support"[label="Support Multiple Languages"];"Input Options"[label="Read from Files or Stdin"]; "Semantic Search"->"Configurable Threshold";"Configurable Threshold"->"Context Display";"Context Display"->"Color-Coded Output";"Color-Coded Output"->"Language Support";"Language Support"->"Input Options";}subgraph cluster_installation{label="Installation";"Binary"[label="Download Binary"];"Source"[label="Build from Source"];"Model File"[label="Download Word Embedding Model"];"Config File"[label="Optional Config.json"]; "Binary"->"Model File";"Source"->"Model File";"Model File"->"Config File";}"w2vgrep - Semantic Grep"->"Example Usage";"w2vgrep - Semantic Grep"->"Features";"w2vgrep - Semantic Grep"->"Installation";}
