title	url	points	by	hnId	dot
Tell HN: DEI initiatives undermine the self esteem of PoC within a company	https://news.ycombinator.com/item?id=34677180	971	qzx_pierri	34677180	digraph DEI_Initiatives{rankdir=TB;node[shape=box, style="rounded,filled", fontname="Arial", fontsize=12, fillcolor="#f0f0f0", color="#333333"]; DEI[label="Diversity, Equity, Inclusion (DEI) Initiatives", shape=ellipse, fillcolor="#d1e7dd"];Benefits[label="Benefits of DEI", fillcolor="#cfe2f3"];Criticisms[label="Criticisms of DEI", fillcolor="#f8d7da"]; Representation[label="Representation Matters"];Tokenism[label="Concerns of Tokenism"];ImposterSyndrome[label="Imposter Syndrome"];Inequity[label="Inequity in Hiring"];VirtueSignaling[label="Corporate Virtue Signaling"];Underperformance[label="Concerns of Underperformance"]; DEI->Benefits;DEI->Criticisms; Benefits->Representation;Benefits->ImposterSyndrome; Criticisms->Tokenism;Criticisms->Inequity;Criticisms->VirtueSignaling;Criticisms->Underperformance; Comment1[label="DEI initiatives can help address historical inequalities.", shape=note, fillcolor="#d1e7dd"];Comment2[label="Concerns about meritocracy and potential bias in hiring.", shape=note, fillcolor="#f8d7da"]; Benefits->Comment1;Criticisms->Comment2;}
Bard and new AI features in Search	https://blog.google/technology/ai/bard-google-ai-search-updates/	713	jmsflknr	34682340	digraph G{rankdir=TB;node[shape=box, style=rounded, fontname="Helvetica", fontsize=12];edge[fontname="Helvetica", fontsize=10];AI[label="AI: Most Profound Technology", shape=ellipse, style=filled, fillcolor="#a6cee3"];GoogleAI[label="Google AI & DeepMind", style=filled, fillcolor="#b2df8a"];Bard[label="Bard: Conversational AI", style=filled, fillcolor="#1f78b4"];Products[label="AI in Everyday Products", style=filled, fillcolor="#33a02c"];Developers[label="Helping Developers Innovate", style=filled, fillcolor="#fb9a99"];Responsibility[label="Bold and Responsible AI", style=filled, fillcolor="#e31a1c"];AI->{Diseases, InformationAccess}[label="Applications"];Diseases[label="Helping Doctors Detect Diseases", style=filled, fillcolor="#fdbf6f"];InformationAccess[label="Enabling Information in Own Language", style=filled, fillcolor="#ff7f00"];GoogleAI->{Transformer, DiffusionModels}[label="Advances"];Transformer[label="Transformer Research", style=filled, fillcolor="#cab2d6"];DiffusionModels[label="Diffusion Models", style=filled, fillcolor="#6a3d9a"];Bard->{LaMDA, Feedback}[label="Powered By"];LaMDA[label="LaMDA (Language Model)", style=filled, fillcolor="#ffff99"];Feedback[label="External Feedback & Internal Testing", style=filled, fillcolor="#b15928"];Products->{Search, LaMDA_PaLM_Imagen_MusicLM}[label="AI Technologies"];Search[label="Improved Search with BERT & MUM", style=filled, fillcolor="#a6cee3"];LaMDA_PaLM_Imagen_MusicLM[label="LaMDA, PaLM, Imagen, MusicLM", style=filled, fillcolor="#b2df8a"];Developers->{GenerativeLanguageAPI, CloudPartnerships}[label="Tools & APIs"];GenerativeLanguageAPI[label="Generative Language API", style=filled, fillcolor="#1f78b4"];CloudPartnerships[label="Google Cloud Partnerships", style=filled, fillcolor="#33a02c"];Responsibility->{AI_Principles, Education_Resources, Community_Experts}[label="Commitments"];AI_Principles[label="AI Principles (2018)", style=filled, fillcolor="#fb9a99"];Education_Resources[label="Education & Resources", style=filled, fillcolor="#e31a1c"];Community_Experts[label="Work with Communities & Experts", style=filled, fillcolor="#fdbf6f"];AI->GoogleAI[label="Investments"];GoogleAI->Bard[label="Research Breakthroughs"];Bard->Products[label="Translates to Products"];Products->Developers[label="Enables Innovation"];Developers->Responsibility[label="Ensures Responsible Use"];}
Path to a free, self-taught education in Computer Science	https://github.com/ossu/computer-science	621	netfortius	34673581	digraph OSSU_CS{rankdir=LR;node[shape=box, style=rounded, fontsize=12, fontname="Helvetica"];edge[fontsize=10, fontname="Helvetica"];subgraph cluster_intro{label="Introduction to Computer Science";Intro_CS[label="Intro CS\n- Programming\n- Computer Science\n\nDuration: ~19 weeks\nEffort: ~25 hours/week"];}subgraph cluster_core{label="Core Curriculum";Core_CS[label="Core CS\n- Programming\n- Math\n- Tools\n- Systems\n- Theory\n- Security\n- Applications\n- Ethics\n\nDuration: ~1-2 years\nEffort: 20 hours/week"];}subgraph cluster_advanced{label="Advanced Curriculum";Adv_CS[label="Advanced CS\n- Programming\n- Systems\n- Theory\n- Information Security\n- Math\n\nChoose based on interest"];}Final_Project[label="Final Project\n- Apply knowledge\n- Showcase skills"];OSSU[label="Open Source Society University\nFree Self-taught Computer Science Education"];OSSU->Intro_CS;OSSU->Core_CS;OSSU->Adv_CS;OSSU->Final_Project;Intro_CS->Core_CS[label="Foundational knowledge"];Core_CS->Adv_CS[label="Specialization"];}
Ask HN: Did anyone else lose their marbles?	https://news.ycombinator.com/item?id=34673949	487	throoowwawaayy	34673949	digraph G{rankdir=TB;node[shape=box, style="rounded,filled", fillcolor="#f0f8ff", fontcolor="#000000"]; subgraph cluster_main{label="Mental Health Challenges";style=dashed;color="#4682b4";intro[label="Introduction to Mental Health", shape=ellipse, fillcolor="#add8e6"];burnout[label="Burnout Experiences", shape=box];breakdown[label="Psychotic Breaks", shape=box];comments[label="Community Responses", shape=box];}subgraph cluster_burnout{label="Burnout Discussions";style=dotted;color="#32cd32";story1[label="Personal Story: Feeling Overwhelmed", shape=box];story2[label="Impact on Work and Life", shape=box];coping[label="Coping Mechanisms", shape=box];}subgraph cluster_breakdown{label="Breakdown Experiences";style=dotted;color="#ff6347";story3[label="Delusions and Hallucinations", shape=box];recovery[label="Recovery Journey", shape=box];support[label="Support Systems", shape=box];}intro->burnout;intro->breakdown;burnout->story1;burnout->story2;burnout->coping;breakdown->story3;breakdown->recovery;breakdown->support;comments->burnout;comments->breakdown;}
How much can you get out of a $4 VPS?	https://alicegg.tech//2023/02/06/4dollar-vps.html	460	zer0tonin	34676186	digraph{"Budget for Cloud Hosting"->"Low - cost VPS Test";"Low - cost VPS Test"->"Test Application";"Low - cost VPS Test"->"Load Test";"Load Test"->"Conclusion and Limitations";"Test Application"->"Go CRUD Application";"Test Application"->"MongoDB";"Go CRUD Application"->"Routes";"Routes"->"GET /";"Routes"->"GET /<post_id>";"Routes"->"POST /";"MongoDB"->"Index on Post Timestamps";"Test Application"->"Docker Deployment";"Load Test"->"K6";"K6"->"Scenarios";"Scenarios"->"10% Create Posts";"Scenarios"->"90% Display Posts";"Load Test"->"Metrics Analysis";"Metrics Analysis"->"Request Duration vs Rate";"Load Test"->"Bottleneck Identification";"Bottleneck Identification"->"100% CPU Load";"Conclusion and Limitations"->"Cheap VPS for Start";"Conclusion and Limitations"->"Differ from Real Apps";"Conclusion and Limitations"->"Best Budget Determination";"Best Budget Determination"->"Distributed k6 Setup";"Distributed k6 Setup"->"k6 Operator for Kubernetes";"Distributed k6 Setup"->"k6 Cloud";}
The technology behind GitHub’s new code search	https://github.blog/2023-02-06-the-technology-behind-githubs-new-code-search/	431	joshbetz	34680903	digraph G{rankdir="TB";node[shape=box, style=rounded, fontname="Arial", fontsize=12];edge[fontname="Arial", fontsize=10];subgraph cluster_motivation{label="Motivation";style=filled;color=lightgrey;node[color=white];"Unique User Experience"->"Code Search Differences"->"GitHub Scale";}subgraph cluster_solution{label="Solution";style=filled;color=lightblue;node[color=white];"Build Custom Search Engine (Blackbird)"->"Use Rust"->"Indexing Strategy";}subgraph cluster_indexing{label="Indexing";style=filled;color=lightgreen;node[color=white];"Shard by Git Blob Object ID"->"Delta Encoding"->"Tree Model";}subgraph cluster_query{label="Query Processing";style=filled;color=lightyellow;node[color=white];"Query Parsing"->"Fan Out to Shards"->"Iterators & Intersection"->"Score & Sort";}subgraph cluster_performance{label="Performance";style=filled;color=lightpink;node[color=white];"120,000 Docs/Sec"->"Delta Indexing"->"28 TB Unique Content"->"25 TB Index Size";}"Motivation"->"Solution"[label="Drives"];"Solution"->"Indexing"[label="Involves"];"Indexing"->"Query Processing"[label="Enables"];"Query Processing"->"Performance"[label="Optimizes"];}
AI Generated Seinfeld banned on Twitch for transphobic jokes	https://www.sportskeeda.com/esports/news-ai-streamer-watchmeforever-reportedly-gets-banned-going-rogue	402	mib32	34678339	digraph AI_Streamer_Ban{rankdir=TB;node[shape=box, style=rounded, fontname="Arial", fontsize=12, color="#333333", fontcolor="#333333"];edge[color="#666666", fontname="Arial", fontsize=10];"AI Streamer"[label="AI Streamer\nWatchmeforever", color="#4CAF50", fontcolor="#FFFFFF", style=filled];"Twitch"[label="Twitch", color="#2196F3", fontcolor="#FFFFFF", style=filled];"Banned"[label="Banned", color="#F44336", fontcolor="#FFFFFF", style=filled];"Offensive Remarks"[label="Offensive Remarks\n(Transphobic)", color="#FF9800", fontcolor="#FFFFFF", style=filled];"Community Guidelines"[label="Breach of\nCommunity Guidelines", color="#FF5722", fontcolor="#FFFFFF", style=filled];"14-Day Ban"[label="14-Day Ban", color="#FFC107", fontcolor="#FFFFFF", style=filled];"AI Streamer"->"Offensive Remarks"[label="Made", color="#666666"];"Offensive Remarks"->"Community Guidelines"[label="Breached", color="#666666"];"Community Guidelines"->"Twitch"[label="Reported to", color="#666666"];"Twitch"->"Banned"[label="Imposed", color="#666666"];"Banned"->"14-Day Ban"[label="Resulted in", color="#666666"];}
Voice.ai: GPL Violations with a Side of DRM	https://undeleted.ronsor.com/voice.ai-gpl-violations-with-a-side-of-drm/	386	ronsor	34681636	digraph G{rankdir="TB";node[shape=box, style=rounded, fontname="Arial", fontsize=12];edge[fontname="Arial", fontsize=10];subgraph cluster_0{label="Voice.ai Overview";style=filled;color=lightgrey;node[color=white];"Voice.ai"[label="Voice.ai: Real-Time AI Voice Changer"];"Eleven Labs"[label="Eleven Labs: Prime Voice AI"];"TTS Integration"[label="TTS Integration (e.g., espeak)"];"Voice.ai"->"Eleven Labs"[label="Comparison"];"Voice.ai"->"TTS Integration"[label="Technique"];}subgraph cluster_1{label="GPL Violation Saga";style=filled;color=lightgrey;node[color=white];"GPL Violation"[label="GPL Violation"];"Praat"[label="Praat (GPLv3)"];"libgcrypt"[label="libgcrypt (LGPLv2.1)"];"VoiceAILib.dll"[label="VoiceAILib.dll"];"Ghidra Analysis"[label="Ghidra Analysis"];"Evidence"[label="Evidence of GPL Code"];"GPL Violation"->"Praat"[label="Infringement"];"GPL Violation"->"libgcrypt"[label="Infringement"];"Praat"->"VoiceAILib.dll"[label="Statically Linked"];"libgcrypt"->"VoiceAILib.dll"[label="Statically Linked"];"VoiceAILib.dll"->"Ghidra Analysis"[label="Decompiled"];"Ghidra Analysis"->"Evidence"[label="Code Matching"];}subgraph cluster_2{label="Communication & Response";style=filled;color=lightgrey;node[color=white];"Contact Attempt"[label="Contact Attempt"];"Email Request"[label="Email Request for Source Code"];"No Response"[label="No Response"];"Discord Ban"[label="Discord Ban"];"Contact Attempt"->"Email Request"[label="Formal"];"Email Request"->"No Response"[label="Unanswered"];"Contact Attempt"->"Discord Ban"[label="Unexpected"];}subgraph cluster_3{label="DRM & Privacy Concerns";style=filled;color=lightgrey;node[color=white];"DRM Issues"[label="DRM Issues"];"Data Collection"[label="Data Collection"];"Obfuscation"[label="Obfuscation"];"Antivirus Alerts"[label="Antivirus Alerts"];"DRM Issues"->"Data Collection"[label="Excessive"];"Data Collection"->"Obfuscation"[label="For DRM"];"Obfuscation"->"Antivirus Alerts"[label="False Positives"];}subgraph cluster_4{label="Updates & Compliance";style=filled;color=lightgrey;node[color=white];"Version Updates"[label="Version Updates"];"License Compliance"[label="License Compliance"];"Community Feedback"[label="Community Feedback"];"Version Updates"->"License Compliance"[label="Attempts"];"License Compliance"->"Community Feedback"[label="Response"];}"Voice.ai"->"GPL Violation"[label="Issue"];"GPL Violation"->"Contact Attempt"[label="Action"];"Contact Attempt"->"DRM Issues"[label="Outcome"];"DRM Issues"->"Version Updates"[label="Resolution Attempts"];}
Jailbreaking ChatGPT with Dan (Do Anything Now)	https://twitter.com/venturetwins/status/1622243944649347074	357	vincvinc	34676043	digraph{rankdir=TB;"Welcome to x.com!"->"URL change";"URL change"->"Privacy & data protection settings remain the same";"Privacy & data protection settings remain the same"->"Privacy Policy: https://x.com/en/privacy";}
Tech CEOs Should Be Held Accountable, or Even Fired, Amid Layoffs	https://www.businessinsider.com/tech-ceo-accountable-layoffs-google-apple-intel-2023-2	348	i13e	34678526	digraph{subgraph cluster_main{label="Tech Industry on First Monday of the Month";meta[label="Meta: Earnings show economy's toll"];alphabet[label="Alphabet: Earnings show economy's toll"];apple[label="Apple: No layoffs, earnings"];amazon[label="Amazon: Earnings show economy's toll"];ceos[label="CEOs: Contrition, layoffs, efficiency drive"];zitron[label="Ed Zitron: Workers taking fall for CEOs' fault"];meta->ceos;alphabet->ceos;apple->ceos;amazon->ceos;ceos->zitron;}subgraph cluster_sub{label="Other Tech News";musk_trial[label="Elon Musk: Wins trial over 'funding secured' tweet"];openai[label="OpenAI: Codex for programmers, ChatGPT for Wall Street"];amazon_shopper[label="Amazon: Typical shopper demographics"];twitter_api[label="Twitter: Considers charging developers for API"];induction_cooking[label="Induction cooking: Insider's test"];gates_statement[label="Bill Gates: Vaccines > Mars"];picsart_app[label="Picsart AI: Replace ex in photos"];tesla_wheel[label="Tesla: Steering wheel fell off"];activision[label="Activision Blizzard: Earnings report"];pinterest[label="Pinterest: Earnings report"];take_two[label="Take Two Interactive: Earnings report"];}ceos->musk_trial;ceos->openai;ceos->amazon_shopper;ceos->twitter_api;ceos->induction_cooking;ceos->gates_statement;ceos->picsart_app;ceos->tesla_wheel;ceos->activision;ceos->pinterest;ceos->take_two;}
