title	url	points	by	hnId	dot
Shai-Hulud Returns: Over 300 NPM Packages Infected	https://helixguard.ai/blog/malicious-sha1hulud-2025-11-24	846	mrdosija	46032539	digraph PackageEcosystems{graph[rankdir=TB, bgcolor="#f8f9fa", splines=ortho, nodesep=0.3, ranksep=0.8, fontname="Arial", fontsize=10]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=9, margin=0.1]; edge[color="#666666", arrowsize=0.6, fontname="Arial", fontsize=8]; subgraph cluster_asyncapi{label="AsyncAPI Ecosystem";bgcolor="#e3f2fd";color="#1976d2"; asyncapi_core[label="@asyncapi/parser\nv3.4.2", fill="#bbdefb"];asyncapi_gen[label="@asyncapi/generator\nv2.8.5", fill="#bbdefb"];asyncapi_templates[label="@asyncapi/templates\nmultiple", fill="#90caf9"];} subgraph cluster_ens{label="ENS Domains";bgcolor="#f3e5f5";color="#7b1fa2"; ens_core[label="@ensdomains/ensjs\nv4.0.3", fill="#e1bee7"];ens_validation[label="@ensdomains/validation\nmultiple", fill="#ce93d8"];ens_contracts[label="@ensdomains/contracts\nmultiple", fill="#ce93d8"];} subgraph cluster_posthog{label="PostHog Analytics";bgcolor="#e8f5e9";color="#388e3c"; posthog_core[label="@posthog/core\nv1.5.6", fill="#c8e6c9"];posthog_plugins[label="@posthog/plugins\nmultiple", fill="#a5d6a7"];posthog_react[label="@posthog/react-native\nv4.12.5", fill="#c8e6c9"];} subgraph cluster_postman{label="Postman Tools";bgcolor="#fff3e0";color="#f57c00"; postman_cli[label="@postman/cli-tools\nmultiple", fill="#ffe0b2"];postman_parser[label="@postman/csv-parse\nv4.0.5", fill="#ffcc80"];} subgraph cluster_zapier{label="Zapier Platform";bgcolor="#fce4ec";color="#c2185b"; zapier_core[label="@zapier/platform-core\nv18.0.3", fill="#f8bbd0"];zapier_ai[label="@zapier/ai-actions\nv0.1.20", fill="#f48fb1"];} subgraph cluster_voiceflow{label="Voiceflow SDK";bgcolor="#e0f2f1";color="#00796b"; voiceflow_api[label="@voiceflow/api-sdk\nv3.28.59", fill="#b2dfdb"];voiceflow_runtime[label="@voiceflow/runtime\nv1.29.2", fill="#80cbc4"];} subgraph cluster_other{label="Other Packages";bgcolor="#fafafa";color="#616161"; actbase[label="@actbase/react\nmultiple", fill="#e0e0e0"];kvytech[label="@kvytech/medusa\nmultiple", fill="#e0e0e0"];standalone[label="Standalone\n200+ packages", fill="#bdbdbd"];} asyncapi_core->asyncapi_gen[label="uses"];asyncapi_gen->asyncapi_templates[label="generates"]; ens_core->ens_validation[label="validates"];ens_core->ens_contracts[label="interacts"]; posthog_core->posthog_plugins[label="extends"];posthog_core->posthog_react[label="supports"]; postman_cli->postman_parser[label="includes"]; zapier_core->zapier_ai[label="powers"]; voiceflow_api->voiceflow_runtime[label="drives"]; asyncapi_core->posthog_core[label="analytics", style=dashed, color="#999"];voiceflow_api->asyncapi_gen[label="docs", style=dashed, color="#999"]; summary[label="Total: 500+ Packages\n8 Major Ecosystems\nActive Development", shape=note, fill="#fff9c4", color="#f9a825", fontsize=11, fontname="Arial Bold"];{rank=same;cluster_asyncapi cluster_ens cluster_posthog}{rank=same;cluster_postman cluster_zapier cluster_voiceflow}{rank=same;cluster_other summary}}
Claude Opus 4.5	https://www.anthropic.com/news/claude-opus-4-5	724	adocomplete	46037637	digraph ClaudeOpus45{graph[rankdir=TB, bgcolor="#f8f9fa", fontname="Arial", fontsize=12, nodesep=0.4, pad=0.5]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=10, width=2.8, height=0.6]; edge[fontname="Arial", fontsize=9, color="#6c757d"]; "Claude Opus 4.5"[fillcolor="#007bff", fontcolor="white", fontsize=14, width=3.2, height=0.8]; capabilities[label="Key Capabilities", fillcolor="#28a745", fontcolor="white"]; coding[label="🔧 Best for Coding", fillcolor="#e9ecef"]; agents[label="🤖 Best for Agents", fillcolor="#e9ecef"]; computer[label="💻 Computer Use", fillcolor="#e9ecef"]; research[label="🔍 Deep Research", fillcolor="#e9ecef"]; office[label="📊 Slides & Spreadsheets", fillcolor="#e9ecef"]; performance[label="Performance", fillcolor="#ffc107", fontcolor="black"]; swe[label="SOTA on SWE-bench", fillcolor="#e9ecef"]; human[label="Beats Human Engineers", fillcolor="#e9ecef"]; vision[label="Enhanced Vision", fillcolor="#e9ecef"]; reasoning[label="Better Reasoning", fillcolor="#e9ecef"]; math[label="Improved Mathematics", fillcolor="#e9ecef"]; efficiency[label="Efficiency", fillcolor="#17a2b8", fontcolor="white"]; tokens[label="65% Fewer Tokens", fillcolor="#e9ecef"]; effort[label="Effort Parameter", fillcolor="#e9ecef"]; pricing[label="$5/$25 per MTokens", fillcolor="#e9ecef"]; safety[label="Safety", fillcolor="#dc3545", fontcolor="white"]; aligned[label="Best Aligned Model", fillcolor="#e9ecef"]; injection[label="Resists Prompt Injection", fillcolor="#e9ecef"]; availability[label="Availability", fillcolor="#6f42c1", fontcolor="white"]; apps[label="Mobile & Desktop Apps", fillcolor="#e9ecef"]; api[label="API Access", fillcolor="#e9ecef"]; cloud[label="Cloud Platforms", fillcolor="#e9ecef"]; "Claude Opus 4.5"->capabilities;"Claude Opus 4.5"->performance;"Claude Opus 4.5"->efficiency;"Claude Opus 4.5"->safety;"Claude Opus 4.5"->availability; capabilities->coding;capabilities->agents;capabilities->computer;capabilities->research;capabilities->office; performance->swe;performance->human;performance->vision;performance->reasoning;performance->math; efficiency->tokens;efficiency->effort;efficiency->pricing; safety->aligned;safety->injection; availability->apps;availability->api;availability->cloud;}
Pebble Watch software is now 100% open source	https://ericmigi.com/blog/pebble-watch-software-is-now-100percent-open-source	643	Larrikin	46037626	digraph Pebble_Update{graph[rankdir=TB, bgcolor="#f8f9fa", fontname="Arial", fontsize=12, splines=ortho, nodesep=0.8, pad=1]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=10, height=0.6, width=2.8]; edge[fontname="Arial", fontsize=9, color="#6c757d"]; main[label="100% Open Source\nPebble Ecosystem",  fillcolor="#28a745",  fontcolor="white", width=3.5, height=0.8]; hardware[label="Hardware\nSustainability",  fillcolor="#007bff",  fontcolor="white"]; software[label="Software\nSustainability",  fillcolor="#17a2b8",  fontcolor="white"]; pt2[label="Pebble Time 2\n• Shipping March/April\n• 4 color options",  fillcolor="#e3f2fd",  fontcolor="#1976d2"]; repair[label="More Repairable\n• Screwed back cover\n• Replaceable battery",  fillcolor="#e3f2fd",  fontcolor="#1976d2"]; design[label="Open Design Files\n• Schematics on GitHub\n• KiCad project files",  fillcolor="#e3f2fd",  fontcolor="#1976d2"]; pebbleos[label="PebbleOS\n• 100% open source\n• Compile & install",  fillcolor="#e0f2f1",  fontcolor="#00796b"]; mobile[label="Mobile App\n• 100% open source\n• Cross-platform",  fillcolor="#e0f2f1",  fontcolor="#00796b"]; devtools[label="Developer Tools\n• Modern SDK\n• Browser development",  fillcolor="#e0f2f1",  fontcolor="#00796b"]; appstore[label="Appstore\n• Decentralized feeds\n• Archive.org backup",  fillcolor="#e0f2f1",  fontcolor="#00796b"]; benefits[label="Community Benefits\n• Long-term reliability\n• No single point of failure\n• Developer freedom",  fillcolor="#fff3cd",  fontcolor="#856404", shape=note]; main->hardware[label="Core Devices\nself-funded"];main->software[label="Google open sourced\nPebbleOS"]; hardware->pt2;hardware->repair;hardware->design; software->pebbleos;software->mobile;software->devtools;software->appstore; pt2->benefits[style=dashed];pebbleos->benefits[style=dashed];appstore->benefits[style=dashed];{rank=same;hardware software}{rank=same;pt2 repair design}{rank=same;pebbleos mobile devtools appstore}}
France threatens GrapheneOS with arrests / server seizure for refusing backdoors	https://mamot.fr/@LaQuadrature/115581775965025042	558	nabakin	46036217	digraph "GrapheneOS Media Attack Analysis"{rankdir=TB;splines=ortho;node[shape=box, style=filled, fontname="Arial", fontsize=10];edge[fontname="Arial", fontsize=9]; subgraph cluster_media{label="Media Attack";style=filled;color="#ffcccc";"Le Parisien"[fillcolor="#ff9999"];"Le Figaro"[fillcolor="#ff9999"];} subgraph cluster_government{label="Government/Police";style=filled;color="#ccccff";"Ministère Intérieur"[fillcolor="#9999ff"];"Cybercriminalité Paris"[fillcolor="#9999ff"];} subgraph cluster_target{label="Target";style=filled;color="#ccffcc";"GrapheneOS"[fillcolor="#99ff99", shape=ellipse];"Développeurs"[fillcolor="#99ff99"];} subgraph cluster_justification{label="Justification";style=filled;color="#ffffcc";"Trafic de drogues"[fillcolor="#ffff99"];"Criminalisation"[fillcolor="#ffff99"];} subgraph cluster_objectives{label="Objectives";style=filled;color="#ffccff";"Surveillance"[fillcolor="#ff99ff"];"Backdoors"[fillcolor="#ff99ff"];"ChatControl EU"[fillcolor="#ff99ff"];} subgraph cluster_defense{label="Defense";style=filled;color="#ccffcc";"La Quadrature du Net"[fillcolor="#99ff99", shape=ellipse];"Droit au chiffrement"[fillcolor="#99ff99"];"Vie privée"[fillcolor="#99ff99"];} "Le Parisien"->"GrapheneOS"[label="attaque", color=red, style=bold];"Le Figaro"->"GrapheneOS"[label="attaque", color=red, style=bold]; "Ministère Intérieur"->"Le Parisien"[label="propagande", color=blue];"Cybercriminalité Paris"->"Développeurs"[label="menace", color=red, style=dashed]; "Trafic de drogues"->"Criminalisation"[label="prétexte", color=orange];"Criminalisation"->"GrapheneOS"[label="association", color=red]; "Surveillance"->"Backdoors"[label="objectif", color=purple];"Backdoors"->"ChatControl EU"[label="extension", color=purple]; "La Quadrature du Net"->"GrapheneOS"[label="défend", color=green, style=bold];"La Quadrature du Net"->"Droit au chiffrement"[label="protège", color=green];"Droit au chiffrement"->"Vie privée"[label="garantit", color=green]; subgraph cluster_history{label="Historical Pattern";style=filled;color="#e6e6e6";"Affaire 8 décembre"[fillcolor="#d9d9d9"];"Signal/WhatsApp"[fillcolor="#d9d9d9"];} "Affaire 8 décembre"->"Criminalisation"[label="précédent", color=gray];"Signal/WhatsApp"->"Backdoors"[label="ciblés", color=gray]; "GrapheneOS"->"La Quadrature du Net"[label="réponse", color=green, style=bold];"La Quadrature du Net"->"Don"[label="appel", color=green, style=dashed];}
Shai Hulud launches second supply-chain attack	https://www.aikido.dev/blog/shai-hulud-strikes-again-hitting-zapier-ensdomains	339	birdculture	46035533	digraph ShaiHuludCampaign{graph[rankdir=TB, bgcolor="#1a1a1a", fontcolor="#ffffff", fontname="Arial", nodesep=0.3, ranksep=0.4]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=10, fontcolor="#ffffff", margin=0.1]; edge[fontname="Arial", fontsize=9, fontcolor="#cccccc"]; title[label="Shai-Hulud: The Second Coming\nNPM Supply Chain Attack", shape=none, fontsize=14, fontcolor="#ff6b6b", margin=0.2]; timeline[label="Timeline", shape=none, fontsize=11, fontcolor="#4ecdc4"]; aug27[label="Aug 27\nS1ngularity Report", fillcolor="#2c3e50"];sep16[label="Sep 16\nFirst Wave", fillcolor="#e74c3c"];sep18[label="Sep 18\nDeep Analysis", fillcolor="#2c3e50"];nov24[label="Nov 24\nSecond Coming", fillcolor="#e74c3c"]; timeline->aug27->sep16->sep18->nov24; attack_flow[label="Attack Flow", shape=none, fontsize=11, fontcolor="#4ecdc4"]; infection[label="Package Installation\nTriggers Malware", fillcolor="#8e44ad"];bun_setup[label="Installs Bun\nsetup_bun.js", fillcolor="#9b59b6"];execution[label="Executes\nbun_environment.js", fillcolor="#8e44ad"];scan[label="Scans for Secrets\n(TruffleHog)", fillcolor="#e67e22"];exfil[label="Exfiltrates to GitHub\n'Sha1-Hulud: Second Coming'", fillcolor="#c0392b"];spread[label="Spreads to 100+ NPM Packages", fillcolor="#e74c3c"]; attack_flow->infection->bun_setup->execution->scan->exfil->spread; differences[label="New Features", shape=none, fontsize=11, fontcolor="#4ecdc4"]; diff1[label="Uses Bun Runtime", fillcolor="#16a085"];diff2[label="Random Repo Names", fillcolor="#16a085"];diff3[label="100 Package Limit", fillcolor="#16a085"];diff4[label="Wipes Home Directory\non Auth Fail", fillcolor="#c0392b"]; differences->{diff1 diff2 diff3 diff4}; impact[label="Impact", shape=none, fontsize=11, fontcolor="#4ecdc4"]; packages[label="492 Compromised\n132M Downloads", fillcolor="#d35400"];major_orgs[label="Major Orgs Affected:\n• AsyncAPI\n• PostHog\n• Postman\n• Zapier\n• ENS", fillcolor="#e67e22"];repos[label="26.3K Exposed\nGitHub Repos", fillcolor="#c0392b"]; impact->packages->major_orgs->repos; mitigation[label="Mitigation Actions", shape=none, fontsize=11, fontcolor="#4ecdc4"]; audit[label="Audit Dependencies", fillcolor="#27ae60"];rotate[label="Rotate All Secrets", fillcolor="#27ae60"];disable[label="Disable postinstall Scripts", fillcolor="#27ae60"];pin[label="Pin Package Versions", fillcolor="#27ae60"];tools[label="Use Security Tools\n(Safe-Chain)", fillcolor="#2ecc71"]; mitigation->{audit rotate disable pin tools};{rank=same;title;}{rank=same;timeline;}{rank=same;aug27 sep16 sep18 nov24;}{rank=same;attack_flow;}{rank=same;infection bun_setup execution scan exfil spread;}{rank=same;differences;}{rank=same;diff1 diff2 diff3 diff4;}{rank=same;impact;}{rank=same;packages major_orgs repos;}{rank=same;mitigation;}{rank=same;audit rotate disable pin tools;}}
Ask HN: Hearing aid wearers, what's hot?	https://news.ycombinator.com/item?id=46029699	335	pugworthy	46029699	digraph HearingTech{graph[rankdir=TB, bgcolor="#f8f9fa", fontname="Arial", fontsize=12, nodesep=0.6, pad=1]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=11, width=3.5]; edge[fontname="Arial", fontsize=9, color="#666666"]; title[label="Assistive Technologies for Hearing Loss", shape=none, style="", fontsize=16, fontname="Arial Bold", fillcolor="", width=4]; hearing_aids[label="Traditional Hearing Aids\n(Oticon, Phonak, Widex, Starkey)", fillcolor="#e3f2fd", tooltip="Medical-grade devices with advanced features"]; smart_glasses[label="Live Caption Glasses\n(Captify)", fillcolor="#fff3e0", tooltip="AR glasses displaying real-time captions"]; earbuds[label="Smart Earbuds\n(AirPods Pro, Nothing Ears)", fillcolor="#f3e5f5", tooltip="Consumer devices with hearing aid features"]; implants[label="Cochlear Implants\n(Advanced Bionics, Med-El)", fillcolor="#e8f5e9", tooltip="Surgical solutions for severe hearing loss"]; alternatives[label="Alternative Solutions\n(Bone Conduction, IEMs)", fillcolor="#fce4ec", tooltip="Non-traditional assistive devices"]; features[label="Key Technologies", shape=none, style="", fontsize=13, fontname="Arial Bold"]; ai[label="AI Noise Reduction\nDirectional Mics", fillcolor="#f1f8e9", shape=ellipse]; bluetooth[label="Bluetooth Streaming\nPhone Integration", fillcolor="#f1f8e9", shape=ellipse]; captions[label="Live Captions\nTranscription", fillcolor="#f1f8e9", shape=ellipse]; battery[label="Battery Solutions\n(Rechargeable/Disposable)", fillcolor="#f1f8e9", shape=ellipse]; use_cases[label="Common Use Cases", shape=none, style="", fontsize=13, fontname="Arial Bold"]; daily[label="Daily Conversations\nOne-on-one", fillcolor="#e0f2f1", shape=ellipse]; noisy[label="Noisy Environments\n(Restaurants, Meetings)", fillcolor="#e0f2f1", shape=ellipse]; media[label="Media Consumption\n(Music, Calls, TV)", fillcolor="#e0f2f1", shape=ellipse]; challenges[label="Challenges", shape=none, style="", fontsize=13, fontname="Arial Bold"]; cost[label="High Cost\nSubscription Models", fillcolor="#ffebee", shape=ellipse]; ux[label="UX Issues\nComplex Controls", fillcolor="#ffebee", shape=ellipse]; dependency[label="Cloud Dependency\nService Reliability", fillcolor="#ffebee", shape=ellipse]; title->hearing_aids;title->smart_glasses;title->earbuds;title->implants;title->alternatives; hearing_aids->ai;hearing_aids->bluetooth;hearing_aids->battery; smart_glasses->captions;smart_glasses->ai; earbuds->ai;earbuds->bluetooth;earbuds->captions; implants->ai;implants->battery; alternatives->bluetooth; hearing_aids->daily;hearing_aids->noisy;hearing_aids->media; smart_glasses->noisy;smart_glasses->daily; earbuds->media;earbuds->daily; implants->daily;implants->media; alternatives->daily;alternatives->noisy; hearing_aids->cost;hearing_aids->ux; smart_glasses->cost;smart_glasses->dependency; earbuds->battery; implants->ux;implants->cost; subgraph cluster_features{label="";style=invis;features;ai;bluetooth;captions;battery;} subgraph cluster_use_cases{label="";style=invis;use_cases;daily;noisy;media;} subgraph cluster_challenges{label="";style=invis;challenges;cost;ux;dependency;}}
RuBee	https://computer.rip/2025-11-22-RuBee.html	329	Sniffnoy	46029932	digraph RuBee_Story{rankdir=TB;bgcolor="#f8f9fa";node[shape=box, style=filled, fontname="Arial", fontsize=10];edge[fontname="Arial", fontsize=9]; title[label="RuBee: Magnetic Visibility Network", shape=plaintext, fontsize=14, fontcolor="#2c3e50"]; origin[label="Founded 2004\nVisible Assets Inc.\nJohn K. Stevens\n(Healthcare Background)", fillcolor="#e8f4f8", color="#3498db"]; original[label="Original Goal:\nCold Chain Monitoring\nTemperature Sensitive\nMedical Samples", fillcolor="#fef5e7", color="#f39c12"]; tech[label="Technical Innovation:\n• 131 kHz LF Band\n• Magnetic Field Communication\n• Near-Field Operation\n• Active Tags (Battery Powered)\n• IEEE 1902.1 Standard", fillcolor="#e8f8f5", color="#16a085"]; properties[label="Key Properties:\n• Metal/Water Resistant\n• 30m Range Max\n• 100% Read Rate\n• Secure (Short Range)\n• Intrinsically Safe", fillcolor="#f4ecf7", color="#8e44ad"]; evolution[label="Market Evolution:\nHealthcare → Defense\nNiche Technology\nHigh-Value Assets", fillcolor="#fadbd8", color="#e74c3c"]; apps[label="Primary Applications:", shape=plaintext, fontsize=11]; military[label="Military/Defense:\n• Weapon Tracking\n• Shot Counting\n• Armory Management\n• Zero Separation Distance", fillcolor="#d5dbdb", color="#34495e"]; doe[label="Department of Energy:\n• Phone Detection\n• Nuclear Facility Security\n• Classified Tool Tracking", fillcolor="#d5dbdb", color="#34495e"]; security[label="Security Features:\n• TEMPEST Approved\n• No COMSEC Hazard\n• Undetectable Beyond 20'\n• Anti-Espionage", fillcolor="#d6eaf8", color="#2874a6"]; current[label="Current Status:\n• 1,200+ Sites\n• Defense Contractor Focus\n• 200+ Patents\n• $30M Revenue Goal", fillcolor="#d1f2eb", color="#138d75"]; title->origin[style=invis];origin->original[label="initial vision"];original->tech[label="required"];tech->properties[label="enables"];properties->evolution[label="leads to"];evolution->apps[style=invis];apps->military[label="primary"];apps->doe[label="secondary"];apps->security[label="critical"];military->current[label="drives"];doe->current[label="supports"];security->current[label="ensures"];{rank=same;origin original};{rank=same;tech properties};{rank=same;military doe security};}
Claude Advanced Tool Use	https://www.anthropic.com/engineering/advanced-tool-use	304	lebovic	46038047	digraph AI_Agents_Tools{graph[rankdir=TB, bgcolor="#f8f9fa", nodesep=0.4, ranksep=0.6, fontname="Arial", fontsize=12] node[shape=box, style="rounded,filled", fontname="Arial", fontsize=10] edge[fontname="Arial", fontsize=9] title[label="AI Agents: Advanced Tool Use Features",  shape=plaintext, fontsize=14, fontcolor="#2c3e50", margin=10] challenge[label="🎯 Main Challenge\nScale AI agents across\nhundreds of tools\nwithout context bloat", fillcolor="#e74c3c", fontcolor="white"] subgraph cluster_features{label="Three Key Features" style=filled fillcolor="#ecf0f1" color="#95a5a6"  tool_search[label="🔍 Tool Search Tool\n• Discover tools on-demand\n• Reduces context by 85%\n• Improves accuracy\n\nBest for:\n• 10+ tools\n• >10K tokens", fillcolor="#3498db", fontcolor="white"] prog_calling[label="⚡ Programmatic Tool Calling\n• Orchestrate via code\n• Parallel execution\n• 37% token reduction\n\nBest for:\n• Large datasets\n• Multi-step workflows", fillcolor="#9b59b6", fontcolor="white"] examples[label="📚 Tool Use Examples\n• Show usage patterns\n• JSON Schema + examples\n• 72%→90% accuracy\n\nBest for:\n• Complex parameters\n• API conventions", fillcolor="#16a085", fontcolor="white"]} subgraph cluster_comparison{label="Approach Comparison" style=filled fillcolor="#fef9e7" color="#f39c12"  traditional[label="❌ Traditional\n• Load all tools upfront\n• Individual API calls\n• Schema only\n\nResult:\n• 100K+ tokens\n• Context pollution\n• Parameter errors", fillcolor="#e67e22", fontcolor="white"] new_approach[label="✅ New Approach\n• Dynamic discovery\n• Code orchestration\n• Examples + schema\n\nResult:\n• 85% less tokens\n• Clean context\n• Higher accuracy", fillcolor="#27ae60", fontcolor="white"]} benefits[label="🚀 Key Benefits\n• Preserve 95% context window\n• Reduce latency\n• Scale to 1000+ tools\n• Improve accuracy\n• Enable complex workflows", fillcolor="#2c3e50", fontcolor="white"] subgraph cluster_usecases{label="Real-World Applications" style=filled fillcolor="#e8f8f5" color="#1abc9c"  ide_assistant[label="💻 IDE Assistant\nGit • Files • Testing\nDeployment • Packages", fillcolor="#34495e", fontcolor="white"] ops_coordinator[label="🔄 Ops Coordinator\nSlack • GitHub • Jira\nDrive • Databases • MCP", fillcolor="#34495e", fontcolor="white"] claude_excel[label="📊 Claude for Excel\nProcess thousands of rows\nwithout context overload", fillcolor="#34495e", fontcolor="white"]} implementation[label="⚙️ Implementation\nAdd beta header:\nadvanced-tool-use-2025-11-20\n\nConfigure:\n• defer_loading\n• allowed_callers\n• input_examples", fillcolor="#7f8c8d", fontcolor="white"] title->challenge challenge->{tool_search, prog_calling, examples}{tool_search, prog_calling, examples}->new_approach traditional->new_approach[label="evolves to", style=dashed]new_approach->benefits benefits->{ide_assistant, ops_coordinator, claude_excel}{ide_assistant, ops_coordinator, claude_excel}->implementation{tool_search, prog_calling, examples}[width=2.5, height=1.8]{traditional, new_approach}[width=2.5, height=1.8]{ide_assistant, ops_coordinator, claude_excel}[width=2.3, height=1.2]}
NSA and IETF, part 3: Dodging the issues at hand	https://blog.cr.yp.to/20251123-dodging.html	294	upofadown	46033151	digraph IETF_Controversy{graph[rankdir=TB, bgcolor="#f8f9fa", fontname="Arial", fontsize=10, nodesep=0.6, pad=20]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=9, width=2.5]; edge[fontname="Arial", fontsize=8, arrowsize=0.8]; NSA[label="NSA\n(Influence)", fill="#ff6b6b", fontcolor="white"];IETF[label="IETF\n(Standards Body)", fill="#4dabf7", fontcolor="white"];TLS_WG[label="TLS Working Group", fill="#69db7c"];IESG[label="IESG\n(Leadership)", fill="#ffd43b"];Area_Director[label="Security Area Director", fill="#ff8787"]; NonHybrid[label="Non-Hybrid PQ\n(ML-KEM only)", fill="#ffa94d"];Hybrid[label="Hybrid PQ\n(ECC + PQ)", fill="#74c0fc"]; Adoption_Call[label="Adoption Call\nApril 2025", shape=ellipse, fill="#e9ecef"];Vote_Results[label="Vote Results:\n20 for, 2 conditional,\n7 against", shape=note, fill="#f8f9fa"];Consensus_Claim[label="Chairs claim\n'consensus'", shape=diamond, fill="#ff6b6b20"];Appeal_Process[label="Appeal Process\n(Stonewalled)", shape=ellipse, fill="#ff6b6b20"];Rough_Consensus[label="Reinterpreted as\n'rough consensus'", shape=diamond, fill="#ff878740"]; Security_Argument[label="Security:\nHybrid = seatbelt\nNon-hybrid = no seatbelt", shape=note, fill="#51cf6620"];Complexity_Argument[label="Complexity:\nFalse claims about\nhybrid complexity", shape=note, fill="#ff6b6b20"];Procedural_Issues[label="Procedural:\n- Ignoring objections\n- No due process\n- Shifting definitions", shape=note, fill="#ff6b6b20"]; NSA->NonHybrid[label="pushes for", style=dashed, color="#ff6b6b"];NonHybrid->TLS_WG[label="proposed to"];Hybrid->TLS_WG[label="alternative"]; TLS_WG->Adoption_Call;Adoption_Call->Vote_Results;Vote_Results->Consensus_Claim[label="despite"]; Consensus_Claim->Area_Director[label="supported by"];Area_Director->Appeal_Process[label="complaints to"];Appeal_Process->IESG[label="escalated to"];IESG->Rough_Consensus[label="eventually"]; Security_Argument->Hybrid[label="supports"];Complexity_Argument->NonHybrid[label="misrepresents"];Procedural_Issues->Area_Director[label="criticizes"]; subgraph cluster_legend{label="Legend";style=filled;color="#e9ecef";fontsize=8; key1[label="Red: Problematic actions", shape=plaintext, fill="#ff6b6b20"];key2[label="Blue: Standard process", shape=plaintext, fill="#74c0fc20"];key3[label="Green: Recommended approach", shape=plaintext, fill="#51cf6620"];} label="IETF Post-Quantum Cryptography Controversy\nNSA Influence vs Security Best Practices";fontsize=12;fontname="Arial Bold";}
Japan's gamble to turn island of Hokkaido into global chip hub	https://www.bbc.com/news/articles/c8676qpxgnqo	281	1659447091	46029929	digraph Hokkaido_Semiconductor_Revival{graph[rankdir=TB, bgcolor="#f8f9fa", fontname="Arial", fontsize=10, splines=ortho, nodesep=0.3, ranksep=0.4]; node[shape=box, style="rounded,filled", fontname="Arial", fontsize=9, width=2.5, height=0.6]; edge[fontname="Arial", fontsize=8, color="#666666"]; label="Japan's Semiconductor Revival in Hokkaido";fontsize=12;fontcolor="#1a1a1a"; Gov[label="Japanese Government\n$27B Investment\n$65B AI/Semicon Package", fill="#2c3e50", fontcolor="white"]; Rapidus[label="Rapidus Corp.\n2nm Prototype Success\nTarget: Mass Production 2027", fill="#3498db", fontcolor="white"]; Corporates[label="Corporate Backers\nToyota, SoftBank, Sony", fill="#34495e", fontcolor="white"]; IBM[label="IBM\nTechnology Partner", fill="#e74c3c", fontcolor="white"];ASML[label="ASML\nEUV Lithography System", fill="#e67e22", fontcolor="white"]; Hokkaido[label="Hokkaido\nChitose City\nLow Earthquake Risk\nWater/Electricity Infrastructure", fill="#27ae60", fontcolor="white"]; Ecosystem[label="Growing Ecosystem\nTokyo Electron\nHokkaido University\nGlobal Partners", fill="#16a085", fontcolor="white"]; Market[label="Global Semiconductor Market\n$600B Industry\nAI Demand Surge", fill="#8e44ad", fontcolor="white"]; Challenges[label="Challenges\n• Financing Gap\n• Engineer Shortage\n• Customer Acquisition\n• Competition (TSMC/Samsung)", fill="#c0392b", fontcolor="white"]; Strategic[label="Strategic Value\n• National Security\n• Automotive Supply Chain\n• Economic Revival", fill="#2980b9", fontcolor="white"]; Gov->Rapidus[label="$12B Investment", color="#2c3e50", penwidth=2];Corporates->Rapidus[label="Funding Support", color="#34495e"];IBM->Rapidus[label="2nm Technology Transfer", color="#e74c3c"];ASML->Rapidus[label="Critical Equipment", color="#e67e22"];Rapidus->Hokkaido[label="Fab Construction", color="#27ae60", penwidth=2];Hokkaido->Ecosystem[label="Attracting Partners", color="#16a085"];Rapidus->Market[label="Custom Chips\n3-4x Faster Delivery", color="#8e44ad"];Rapidus->Challenges[label="Overcoming Obstacles", color="#c0392b", style=dashed];Gov->Strategic[label="National Priority", color="#2980b9"]; subgraph cluster_other_players{label="Other Japanese Initiatives";bgcolor="#ecf0f1";fontsize=9; TSMC_Japan[label="TSMC in Kumamoto\n12-28nm Chips", shape=ellipse, fill="#95a5a6"];Kioxia[label="Kioxia/Toshiba\nGovernment Backed", shape=ellipse, fill="#95a5a6"];Micron[label="Micron\n$3.63B Subsidy", shape=ellipse, fill="#95a5a6"];} Gov->TSMC_Japan[color="#7f8c8d"];Gov->Kioxia[color="#7f8c8d"];Gov->Micron[color="#7f8c8d"];}
